accession_number,accession_date,title,maker,medium,description,classification,creation_date_avg
TL.93.88.6,,"The Marikina or Silky Monkey (from ""Silky Monkey Series"")",Gary Sojkowski,color aquatint on paper,,WCMA-PRINTS,0.0
82.10.3,1982-01-01,Pot Sherd,Roman,ceramic,,WCMA-ANCIENT,0.0
50.20.11,1950-01-01,Stone Brushing of a Temple Scene,North Central China,ink on rice paper,woodblock print,WCMA-EASTERN,0.0
59.21.9.R,1959-01-01,Serpent's Head Amulet,Egyptian,carnelian,amulet broken and repaired,WCMA-ANCIENT,0.0
62.32.17.B,1962-01-01,Hair ornament,Egyptian,bone?,,WCMA-ANCIENT,0.0
21.1.9,1921-01-01,Bowl,Mayan,earthenware,"originally painted red, perhaps with some design",WCMA-AMERINDIAN,0.0
92.6.5,1992-06-25,Untitled: Mounted Warrior; with calligraphy,Chinese,ink on rice paper,,WCMA-EASTERN,0.0
RC.22.35,1994-01-01,Pouch or belt piece (?),North American Indian?,leather,wood piece and quills attached,WCMA Reserve Collection,0.0
FI.3,1938-01-01,Ebonized Side Chair,Italian,wood,,WCMA-DEC ARTS,0.0
79.75.102,1979-01-01,Pot Sherd,Greek,ceramic,,WCMA-ANCIENT,0.0
93.1.77.R,1993-01-01,Bead,Ancient,baked clay,,WCMA-ANCIENT,0.0
43.2.114,1943-01-01,Bowl,American,burl,,WCMA-DEC ARTS,0.0
93.1.14.B,1993-01-01,Hippo Amulet,Egyptian,glass paste,bright orange,WCMA-ANCIENT,0.0
1887.1.49,1887-01-01,Jug or olpe (?),Etruscan,bucchero nero,,WCMA-ANCIENT,0.0
93.1.77.JJ,1993-01-01,Small vase,Syrian?,baked clay,Rough form. Possible mistake from a pottery studio. Possibly part of a larger piece.,WCMA-ANCIENT,0.0
43.2.160,1943-01-01,Bowl,American,pewter,,WCMA-DEC ARTS,0.0
94.1.34.A,1994-01-01,Textile panel,Italian?,velvet,blue grey color,WCMA-DEC ARTS,0.0
60.39.2.A,1960-01-01,Wedjat Eye Amulet,Egyptian,faience,,WCMA-ANCIENT,0.0
92.6.6,1992-06-25,Untitled: Fenced tree trunk; with calligraphy,Chinese,ink on rice paper,,WCMA-EASTERN,0.0
79.75.13,1979-01-01,Pot Sherd,Greek,ceramic,,WCMA-ANCIENT,0.0
79.75.20,1979-01-01,Pot Sherd,Greek,ceramic,,WCMA-ANCIENT,0.0
93.1.142.C,1993-01-01,Weight or seal (?),Anonymous,bronze,,WCMA-DEC ARTS,0.0
59.21.13.G,1959-01-01,Girdle of Isis (Tyet Amulet),Egyptian,ceramic?,area of loss show possible glaze layer,WCMA-ANCIENT,0.0
93.1.65.C,1993-01-01,Small container or flask with stopper,Anonymous,gourd,,WCMA-AMERINDIAN,0.0
59.21.6,1959-01-01,Shawabti of High Priest Amon,Egyptian,faience,blue,WCMA-ANCIENT,0.0
61.19.1.W,1961-01-01,Bead amulet,Egyptian,stone,"partially transparent light- to mid-purple stone. Barrel-shaped bead of ""swirt"" or ""swit"" started in the Middle Kingdom, was worn around throat of the mummy as part of a necklace. Often inscribed with the owner's name. Because of its location, might be a protection from snakebite.",WCMA-ANCIENT,0.0
34.6.2,1934-01-01,small bowl,Greek,terracotta,incised lines decorate base.,WCMA-ANCIENT,0.0
67.34.6,1967-01-01,On the Thames,E. J. Abbirley,photogravure?,,WCMA-PRINTS,0.0
79.75.8,1979-01-01,Pot Sherd,Greek,ceramic,,WCMA-ANCIENT,0.0
84.32.14,1984-01-01,Frame for scroll (?),Chinese?,silk,"salmon silk, (pink/orange color)",WCMA-EASTERN,0.0
59.21.13.Q,1959-01-01,Amulet of Apis (Bull),Egyptian,faience,light green,WCMA-ANCIENT,0.0
93.1.148,1993-01-01,Fragment of a handle (?),Anonymous,bronze,,WCMA-DEC ARTS,0.0
79.75.40,1979-01-01,Pot Sherd,Greek,ceramic,,WCMA-ANCIENT,0.0
46.6.4,1946-01-01,Seal,Babylon,smoked chalcedony,"dark, greyish-brown; surface somewhat transparent",WCMA-ANCIENT,0.0
93.1.14.I,1993-01-01,Hippo Amulet,Egyptian,stone,brown/orange,WCMA-ANCIENT,0.0
79.75.66,1979-01-01,Pot Sherd,Greek,ceramic,,WCMA-ANCIENT,0.0
EL.81.3.15,,"Additions to Library Building, Williams College, Foundation Plan: LH-44",Joseph R. Richards,ink on oilcloth,,WCMA-DRAWING,0.0
93.1.36,1993-01-01,Shroud with beads and amulet,Egyptian,faience,,WCMA-ANCIENT,0.0
94.24.16,1994-12-20,Merry-Go-Round Brooch,John A. Okulick,"18K vermeil, sterling silver",,WCMA-DEC ARTS,0.0
79.75.19,1979-01-01,Pot Sherd,Greek,ceramic,,WCMA-ANCIENT,0.0
82.22.44.A,1982-01-01,Bowl with design,Chinese,porcelain,,WCMA-EASTERN,0.0
77.63.25.S,1977-01-01,Bead,Greek,gold,disc shape,WCMA-ANCIENT,0.0
EL.83.13.17,,Light Meter with box,Agfa-Ansco,"metal, plastic and glass",,WCMA-PHOTO,0.0
RC.22.36,1994-01-01,Greek relief sculpture,Anonymous,black and white photograph,mounted on cardboard,WCMA Reserve Collection,0.0
85.46.60,1985-01-01,Untitled: Spanish dancer,Laura Knight,etching and aquatint on paper,,WCMA-PRINTS,0.0
92.5.146,1992-01-01,Untitled: Boat and figure in a stream,Anonymous (German?),etching on paper,,WCMA-PRINTS,0.0
79.75.14,1979-01-01,Pot Sherd,Greek,ceramic,,WCMA-ANCIENT,0.0
81.27.1,1981-01-01,Travel map of a river,India,"pencil, pen and watercolor on paper",,WCMA-EASTERN,0.0
79.75.93,1979-01-01,Pot Sherd,Greek,ceramic,,WCMA-ANCIENT,0.0
94.1.104,1994-01-01,Untitled: rooftops,Anonymous,gelatin silver print,,WCMA-PHOTO,0.0
79.75.39,1979-01-01,Pot Sherd,Greek,ceramic,,WCMA-ANCIENT,0.0
1887.1.31,1887-01-01,Tripodal Bowl,Panamanian,biscuit ware,"three wedge shaped legs, the upper part of which has the form of a grotesque animal head with human arms below",WCMA-AMERINDIAN,0.0
32.3.3,1932-10-01,Bamboo Spray,Goshi Kwan,color block on paper,woodblock print mounted on cardboard.,WCMA-EASTERN,0.0
93.1.96,1993-01-01,Palette with spout,Egyptian?,alabaster,,WCMA-ANCIENT,0.0
93.1.146.E,1993-01-01,Jewelry fragment (?),Anonymous,bronze,,WCMA-DEC ARTS,0.0
TL.92.60.1,,Untitled: Interior of a Cathedral,A. Biasioli,etching on paper,,WCMA-PRINTS,0.0
JE.1.H,1948-01-01,Bead amulet,Egyptian,glass (or stone?),Grey with black circular striations,WCMA-ANCIENT,0.0
92.5.113,1992-01-01,Fighting Temeraire tugged to her last berth,Alfred-Louis Brunet-Debaines,etching on paper,,WCMA-PRINTS,0.0
79.75.46,1979-01-01,Pot Sherd,Greek,ceramic,,WCMA-ANCIENT,0.0
94.1.82.E,1994-01-01,Side Chair,Anonymous,wood,caned chair; William & Mary style,WCMA-DEC ARTS,0.0
RC.22.44,1994-01-01,Dog-tooth hoolah ankle rattle,Hawaiian,"animal teeth, rope",,WCMA Reserve Collection,0.0
79.75.33,1979-01-01,Pot Sherd,Greek,ceramic,,WCMA-ANCIENT,0.0
94.1.16,1959,Female bust with stars and moon (Diana of the Tower?),Anonymous (European?),marble,,WCMA-SCULPTURE,0.0
79.75.92,1979-01-01,Pot Sherd,Greek,ceramic,,WCMA-ANCIENT,0.0
79.75.34,1979-01-01,Pot Sherd,Greek,ceramic,,WCMA-ANCIENT,0.0
92.6.10,1992-06-25,Untitled: palace garden; with calligraphy,Chinese,ink on rice paper,,WCMA-EASTERN,0.0
77.63.25.M,1977-01-01,Pendant,Greek,gold,,WCMA-ANCIENT,0.0
93.1.77.FF,1993-01-01,Pottery fragment,Syrian?,baked clay,"rough form. Possibly a part of a larger piece, like a base which was not scored and attached properly. Possibly a mistake from a pottery studio.",WCMA-ANCIENT,0.0
EL.75.3.11.A,,Calf head terminal,Greek,gold and gemstone,red/orange stone,WCMA-ANCIENT,0.0
RC.22.30,1994-01-01,Sandal,Anonymous,wood and leather,with straps,WCMA Reserve Collection,0.0
93.1.15.D,1993-01-01,Scarab,Egyptian,stone,green basalt?,WCMA-ANCIENT,0.0
RC.17.57,1993-01-01,Relief of riders,Anonymous,photo mechanical reproduction,,WCMA Reserve Collection,0.0
79.75.98,1979-01-01,Pot Sherd,Greek,ceramic,,WCMA-ANCIENT,0.0
91.27.12,1991-01-01,Rest on the Flight into Egypt,Anonymous (English?),etching and mezzotint on paper,,WCMA-PRINTS,0.0
75.10,1975-01-01,Three Ladies in a Forest,Attributed to Adolphe Joseph Thomas Monticelli,oil on panel,,WCMA-PAINTING,0.0
59.21.5.A,1959-01-01,Shawabti,Egyptian,faience,blue with black hieroglyphs and details,WCMA-ANCIENT,0.0
RC.81.1,2005-08-26,A Woman in Blue,Keisai Yeisen,woodblock print | paper,,WCMA Reserve Collection,0.0
92.5.159,1992-01-01,Untitled: Study of rocks and trees,attributed to Joseph Mallord William Turner,pencil on paper,visible watermark l.c.: 1794/J Whatman,WCMA-DRAWING,0.0
M.2006.2.19,2006-06-30,Krishna and Balarama stealing the butter,Kashmir,opaque watercolor on paper,"the numbers ""492."" and ""14."" on verso.",WCMA-EASTERN,0.0
M.2008.2.48,2008-03-03,Renate Zimet,Andy Warhol,Polaroid Polacolor Type 108,Polaroid,WCMA-PHOTO,0.0
M.2008.2.49,2008-03-03,Renate Zimet,Andy Warhol,Polaroid Polacolor Type 108,Polaroid,WCMA-PHOTO,0.0
94.1.18.FRAME,1994-01-01,"Altar Frame to ""The Annunciation and Adoration of the Magi""",Anonymous,gilt frame,,EXH-Furniture,0.0
RC.81.4,2005-08-26,[A Woman in Blue],Yeisan,woodblock print | paper,,WCMA Reserve Collection,0.0
M.2006.7.6,2006-06-30,Portrait of a woman,H. A. Lesure,albumen print | cabinet card,,WCMA-PHOTO,0.0
M.2008.2.50,2008-03-03,Renate Zimet,Andy Warhol,Polaroid Polacolor Type 108,Polaroid,WCMA-PHOTO,0.0
M.2008.2.51,2008-03-03,Renate Zimet,Andy Warhol,Polaroid Polacolor Type 108,Polaroid,WCMA-PHOTO,0.0
M.2006.7.7,2006-06-30,Portrait of a young man,William E. Miller,albumen print | cabinet card,,WCMA-PHOTO,0.0
RC.30.2.B,1959,Candle holder or Girondole? with rose design,Anonymous (American?),crystal,red and white with prisms,WCMA Reserve Collection,0.0
61.19.1.S,1961-01-01,Amulet of Osiris,Egyptian,stone,white,WCMA-ANCIENT,0.0
93.1.77.DD,1993-01-01,Pottery fragment,Syrian?,baked clay,"rough form. Possibly the base of a chalice, meant to be part of a bigger piece but not scored properly, and fell off during the firing process. Possibly a mistake from a pottery studio.",WCMA-ANCIENT,0.0
99.1.207,1999-03-05,As Harmless As Lager.,Thomas Nast,wood engraving on newsprint,,WCMA-PRINTS,0.0
41.15.32,1941-01-01,Evening party on terrace of a garden,after T'ang Yin,painting on silk,,WCMA-EASTERN,0.0
61.19.1.Y,1961-01-01,Amulet of Seated Baboon Figure,Egyptian,faience?,"[Baboon-sacred animal of Thoth, the spirit of dawn.-Leonore Congdon, Object Identification, 12/6/88]",WCMA-ANCIENT,0.0
60.33.M,1960-01-01,Fragment of a Textile,Coptic,textile,,WCMA-DEC ARTS,0.0
79.75.24,1979-01-01,Pot Sherd,"Mycenaean, Greek",ceramic,,WCMA-ANCIENT,0.0
EL.82.5.3,,Female Saint Holding a Cross,Anonymous,copper?,,WCMA-SCULPTURE,0.0
79.75.111,1979-01-01,Pot Sherd,Greek,ceramic,,WCMA-ANCIENT,0.0
CE.11,1887-01-01,Footed Dish (Kylix style),Etruscan,bucchero nero,red fired clay with black slip glaze,WCMA-ANCIENT,0.0
59.21.7,1959-01-01,Stele,Egyptian,limestone,,WCMA-ANCIENT,0.0
60.39.2.F,1960-01-01,Wedjat Eye Amulet,Egyptian,faience,light brown,WCMA-ANCIENT,0.0
93.1.77.LL,1993-01-01,Small vase,Syrian?,baked clay,rough form. Possibly a mistake from a pottery studio.,WCMA-ANCIENT,0.0
93.1.169,1993-01-01,Relief fragment with design,Egyptian,limestone?,,WCMA-ANCIENT,0.0
59.21.12,1959-01-01,Shawabti,Egyptian,faience,greenish,WCMA-ANCIENT,0.0
89.15,1989-01-01,The Temptation of Saint Anthony,"Attributed to David Teniers, the Younger",etching and engraving on paper,,WCMA-PRINTS,0.0
93.1.195,1993-01-01,carved bone ornament fragment,Anonymous,bone,,WCMA-ANCIENT,0.0
RC.30.18.A,1994-01-01,Doily,American?,lace,,WCMA Reserve Collection,0.0
93.1.101.A,1993-01-01,Candlestick holder,Anonymous,gilt wood,,WCMA-DEC ARTS,0.0
93.1.194,1993-01-01,scoop,Anonymous,bone? | clay?,,WCMA-ANCIENT,0.0
82.10.15,1982-01-01,Pot Sherd,Roman,ceramic,,WCMA-ANCIENT,0.0
48.2.3,1948-01-01,Gaudy Dutch Tea Set,Staffordshire,earthenware (25 pieces),See individual screens (48.2.3.A-Y),WCMA-DEC ARTS,0.0
EL.93.7.1,,Bird or Dove,Archaic,terracotta,,WCMA-ANCIENT,0.0
59.21.13.U,1959-01-01,Amulet of Seth[?],Egyptian,faience,pale blue-green,WCMA-ANCIENT,0.0
93.1.130.H,1993-01-01,Axe head,Anonymous,stone,brown/gold/green color,WCMA-ANCIENT,0.0
93.1.77.E,1993-01-01,Bowl,Syrian?,baked clay,rough form. Possibly an offering bowl. Possibly a mistake from a pottery studio.,WCMA-ANCIENT,0.0
77.63.25.H,1977-01-01,Bead,Greek,gold,,WCMA-ANCIENT,0.0
79.75.112,1979-01-01,Pot Sherd,Greek,ceramic,,WCMA-ANCIENT,0.0
79.75.41,1979-01-01,Pot Sherd,Greek,ceramic,,WCMA-ANCIENT,0.0
60.39.2.E,1960-01-01,Wedjat Eye Amulet,Egyptian,faience,,WCMA-ANCIENT,0.0
46.6.5,1946-01-01,Oval stone with engraving of an animal,Babylon,granite,mottled black and white,WCMA-ANCIENT,0.0
92.5.135,1992-01-01,Église Notre-Dame,Anonymous (French?),lithograph on paper,,WCMA-PRINTS,0.0
79.75.86,1979-01-01,Pot Sherd,Greek,ceramic,,WCMA-ANCIENT,0.0
RC.22.51.C,1994-01-01,Weapon or tool,North American Indian?,wood | twine,,WCMA Reserve Collection,0.0
82.10.34,1982-01-01,Pot Sherd,Roman,ceramic,,WCMA-ANCIENT,0.0
RC.4.25,1994-01-01,Teaching aid: Italian Renaissance: Column and Architecture (Doric),German,print on paper mounted to canvas,,WCMA Reserve Collection,0.0
94.24.25,1994-12-20,Squared Prism Bracelet,De Wain Valentine,sterling silver,,WCMA-DEC ARTS,0.0
34.6.1,1934-01-01,Small Skyphos with handles,Greek,terracotta,"gray slip, bands of brown encircle body, vertical brown rays around edge",WCMA-ANCIENT,0.0
88.19.6,1988-01-01,Hermit and Fallow Deer,Anonymous (Chinese),ink and color on paper,,WCMA-EASTERN,0.0
93.1.143.C,1993-01-01,Nail fragment (?),Anonymous,bronze,,WCMA-DEC ARTS,0.0
78.31.1,1978-01-01,Silk brocade fragment,Japanese?,silk brocade,orange ground with green flowers (ground nearly gone),WCMA-EASTERN,0.0
RC.4.17,1994-01-01,Klee & Kandinsky: Galerie Berggruen,Anonymous,color mechanical reproduction on paper,,WCMA Reserve Collection,0.0
93.1.77.P,1993-01-01,Lid,Syrian?,baked clay,Possibly a mistake from a pottery workshop. Rough form.,WCMA-ANCIENT,0.0
RC.22.50.B,1994-01-01,Arrow,North American Indian?,wood | twine,,WCMA Reserve Collection,0.0
93.1.135.E,1993-01-01,Fragment of Inscribed ring,Anonymous,bronze,,WCMA-ANCIENT,0.0
43.2.162,1943-01-01,Bowl,American,pewter,,WCMA-DEC ARTS,0.0
59.21.13.T,1959-01-01,Frog Amulet,Egyptian,lapis lazuli,,WCMA-ANCIENT,0.0
RC.17.60,1993-01-01,Untitled: Dragon motif,O. J. Larssen,charcoal on paper,,WCMA Reserve Collection,0.0
59.21.13.D,1959-01-01,ring,Egyptian,faience,medium blue,WCMA-ANCIENT,0.0
EL.83.13.4,,Agfa Ansco Camera,Agfa-Ansco,"metal, plastic and glass",,WCMA-PHOTO,0.0
96.13.1,1996-01-01,Figural Piece,South American,baked clay,pewter-gray in color,WCMA-AMERINDIAN,0.0
93.1.130.G,1993-01-01,Axe head,Anonymous,stone,blackish color,WCMA-ANCIENT,0.0
93.1.147.A,1993-01-01,Pin closure (?),Anonymous,bronze,,WCMA-DEC ARTS,0.0
1887.1.46,1887-01-01,Jug,Etruscan,terracotta,with black slip glaze,WCMA-ANCIENT,0.0
93.1.77.D,1993-01-01,Bowl,Syrian?,baked clay,rough form. Possibly an offering bowl. Possibly a mistake from a pottery studio.,WCMA-ANCIENT,0.0
61.19.1.E,1961-01-01,Horus (Falcon) amulet,Egyptian,faience,gree-blue; wearing the solar disc and two plumes headdress,WCMA-ANCIENT,0.0
93.1.191,1993-01-01,snuff bottle stopper?,Anonymous,stone,,WCMA-ANCIENT,0.0
60.37.11,1960-01-01,Shawabti,Egyptian,faience,painted inscription,WCMA-ANCIENT,0.0
EL.75.3.23,,Oak Leaf Wreath,Greek,gold foil,,WCMA-ANCIENT,0.0
60.33.A,1960-01-01,Fragment of a Textile,Coptic,textile,,WCMA-DEC ARTS,0.0
93.1.77.OO,1993-01-01,Small vase,Syrian?,baked clay,Rough form. Possibly a mistake from a pottery studio.,WCMA-ANCIENT,0.0
93.1.12.N,1993-01-01,Papyrus Column on Plaque Amulet,Egyptian,stone,brown/black,WCMA-ANCIENT,0.0
77.63.20,1977-01-01,Fibula with Griffin,Greek,gold and gemstone,garnet or carnelian?,WCMA-ANCIENT,0.0
72.34,1972-01-01,"Grand Priest (costume design for Diaghilev's ballet ""Le Dieu Bleu"")",after Leon Bakst (Lev Samoilovich Rozenberg),watercolor on paper,,WCMA-DRAWING,0.0
93.1.77.RR,1993-01-01,Grave pot,Egyptian?,baked clay,Rough form.,WCMA-ANCIENT,0.0
RC.22.52,1994-01-01,Tool or implement,Anonymous,bone?,incised and carved,WCMA Reserve Collection,0.0
78.31.12,1978-01-01,Framed Textile,Japanese?,silk brocade,,WCMA-EASTERN,0.0
92.5.168,1992-01-01,Diderot,Ryder,engraving on paper,,WCMA-PRINTS,0.0
94.24.4,1994-12-20,Abstract Neckpiece,Fletcher Benton,18K vermeil,,WCMA-DEC ARTS,0.0
RC.17.68,1993-01-01,Untitled: Study of a hand,O. J. Larssen,charcoal on paper,,WCMA Reserve Collection,0.0
82.10.7,1982-01-01,Pot Sherd,Roman,ceramic,,WCMA-ANCIENT,0.0
94.1.30,1994-01-01,Textile with stripes,Anonymous,cotton?,yellow and blue stripes,WCMA-DEC ARTS,0.0
79.75.119,1979-01-01,Pot Sherd,Greek,ceramic,,WCMA-ANCIENT,0.0
37.2.150,1937-01-01,A day's hunting in the fens,Frederick Tayler,etching on paper,,WCMA-PRINTS,0.0
56.16.29,1956-01-01,Cardinal Cape,Italian?,textile,"red color, stuffed with cotton?",WCMA-DEC ARTS,0.0
79.75.10,1979-01-01,Pot Sherd,Greek,ceramic,,WCMA-ANCIENT,0.0
RC.30.9.A,1959,Pot,American,brass,,WCMA Reserve Collection,0.0
61.19.15.D,1961-01-01,Fragment of a mummy wrapping with hieratic inscription,Egyptian,linen?,mummy cloth,WCMA-ANCIENT,0.0
82.10.22,1982-01-01,Pot Sherd,Roman,ceramic,,WCMA-ANCIENT,0.0
94.24.20,1994-12-20,Montre Bracelet,Alexis Smith,"18k vermeil, sterling silver, pink enamel",,WCMA-DEC ARTS,0.0
93.1.12.K,1993-01-01,Amulet of Solar disc between horns,Egyptian,lapis lazuli,,WCMA-ANCIENT,0.0
93.1.14.F,1993-01-01,Hippo Amulet,Egyptian,glass paste,blue,WCMA-ANCIENT,0.0
93.1.121.B,1993-01-01,Fragment from the Ruins of the Prison of Socrates in Athens,Greek,marble,white with grey,WCMA-ANCIENT,0.0
50.20.13,1950-01-01,Stone Brushing of Bamboo,North Central China,ink on rice paper,,WCMA-EASTERN,0.0
79.75.89,1979-01-01,Pot Sherd,Greek,ceramic,,WCMA-ANCIENT,0.0
79.75.21,1979-01-01,Pot Sherd,Greek,ceramic,,WCMA-ANCIENT,0.0
M.2002.1.1,2002-01-01,Spear head?,Pre-Columbian,carved bone,,WCMA-AMERINDIAN,0.0
65.13,1965-01-01,Virgin and Child,Nino Pisano School,marble,,WCMA-SCULPTURE,0.0
93.1.12.A,1993-01-01,Figure amulet with animal head,Egyptian,stone,"black [basalt?]. mummiform figure with animal head [lion? ape?] [If ape, could be Hapy]",WCMA-ANCIENT,0.0
59.21.31,1959-01-01,Two fingers amulet,Egyptian,obsidian,,WCMA-ANCIENT,0.0
RC.22.40,1994-01-01,Weapon or tool,North American Indian?,"wood, rope and bone",,WCMA Reserve Collection,0.0
81.31.80,1981-01-01,Salisbury Cathedral,Anonymous (British),etching on paper,,WCMA-PRINTS,0.0
92.5.108,1992-01-01,Untitled: Portrait of a Woman,Léopold Flameng,etching on paper,,WCMA-PRINTS,0.0
79.75.42,1979-01-01,Pot Sherd,Greek,ceramic,,WCMA-ANCIENT,0.0
79.75.104,1979-01-01,Pot Sherd,Greek,ceramic,,WCMA-ANCIENT,0.0
67.34.8,1967-01-01,Two Girls by the Brookside,E. J. Abbirley,photogravure?,,WCMA-PRINTS,0.0
78.31.10,1978-01-01,Silk brocade fragment,Japanese?,silk brocade,gold ground with multicolor flower and leaf pattern.  Blue and gold border at either end.  White silk backing,WCMA-EASTERN,0.0
59.21.9.F,1959-01-01,Papyrus Column Amulet,Egyptian,stone?,dark brown,WCMA-ANCIENT,0.0
82.10.28,1982-01-01,Pot Sherd,Roman,ceramic,,WCMA-ANCIENT,0.0
TI.21.A,1930-01-01,Square with design and border,Italian,linen,in green on natural colored linen.  Small pieces stitched together. Green gimp border.,WCMA-DEC ARTS,0.0
RC.4.22,1994-01-01,Reproduction of a frieze relief,Anonymous,bronze?,,WCMA Reserve Collection,0.0
58.2.4,1958-01-01,Head of an Ibis,Egyptian,bronze,,WCMA-ANCIENT,0.0
75.43.28,1975-01-01,Head of a man,Greek?,marble? with gold mount,"grey stone, slightly veined",WCMA-ANCIENT,0.0
94.1.71,1994-01-01,Cabinet on legs,French,wood,cupboard on stand; two hinged doors below an arcaded panel (with two drawers); enormous modern stretcher between legs; bracket type legs with scrolled feet; carved overall,WCMA-DEC ARTS,0.0
77.63.15,1977-01-01,Cylindrical pendant,Greek,gold?,,WCMA-ANCIENT,0.0
82.10.17,1982-01-01,Pot Sherd,Roman,ceramic,,WCMA-ANCIENT,0.0
93.1.146.B,1993-01-01,"Finial form fragment, ornament or jewelry (?)",Anonymous,bronze,,WCMA-DEC ARTS,0.0
20.1.31,1920-01-01,Tablet with cuneiform,Mesopotamian,clay,,WCMA-ANCIENT,0.0
93.1.162.A,1993-01-01,fragment of a disk,Anonymous,bronze?,,WCMA-DEC ARTS,0.0
94.24.6.A,1994-12-20,Abstract Scatter Pin,Fletcher Benton,18K vermeil,,WCMA-DEC ARTS,0.0
RC.4.46,1994-01-01,Untitled: Cloister in Europe,Anonymous (American),pencil on paper,mounted to grey cardboard,WCMA Reserve Collection,0.0
58.2.2,1958-01-01,Statuette of an Aoushabti [or Shawabti],Egyptian,faience,gray-green,WCMA-ANCIENT,0.0
94.1.70.E,1994-01-01,Turkeywork Side Chair,Italian?,wood | tapestry,,WCMA-DEC ARTS,0.0
94.24.5,1994-12-20,Abstract Brooch,Fletcher Benton,18K vermeil,,WCMA-DEC ARTS,0.0
93.1.77.X,1993-01-01,Vessel,Syrian?,baked clay,Possibly a mistake from a pottery workshop.,WCMA-ANCIENT,0.0
85.46.37,1985-01-01,Untitled screen: monkeys on branches,Anonymous (Eastern?),painting on screen,,WCMA-EASTERN,0.0
69.41,1969-01-01,Schafschippe (Sheep scoop),French,iron,,WCMA-DEC ARTS,0.0
93.1.135.F,1993-01-01,Band ring,Anonymous,bronze,,WCMA-DEC ARTS,0.0
79.75.38,1979-01-01,Pot Sherd,"Attic, Greek",ceramic,,WCMA-ANCIENT,0.0
JE.1.A.2,1948-01-01,Necklace,Egyptian,faience,cylindrical beads (poorly glazed) with small intervening beads and one eye amulet,WCMA-ANCIENT,0.0
94.24.10,1994-12-20,Monkey Pendant/Brooch,Joan Brown,"18K vermeil, ruby",,WCMA-DEC ARTS,0.0
92.5.144,1992-01-01,Untitled: Portrait of a woman with hat,Anonymous (German?),drypoint etching on paper,,WCMA-PRINTS,0.0
EL.83.3.6.B,,"Alteration of Lawrence Hall, Williams College, Williamstown: 2nd Floor Plan",Harding and Seaver,blueprint facsimile,,WCMA-PRINTS,0.0
93.1.135.B,1993-01-01,Ring inscribed with Eye of Horus,Egyptian?,bronze,,WCMA-ANCIENT,0.0
RC.4.41,1994-01-01,Table,American,wood,green paint; contact paper on top; very sticky,WCMA Reserve Collection,0.0
59.21.9.Q,1959-01-01,Serpent's Head amulet,Egyptian,faience,light blue,WCMA-ANCIENT,0.0
82.10.21,1982-01-01,Pot Sherd,Roman,ceramic,,WCMA-ANCIENT,0.0
82.10.32,1982-01-01,Pot Sherd,Roman,ceramic,,WCMA-ANCIENT,0.0
59.21.9.K,1959-01-01,Wedjat Eye Amulet,Egyptian,faience,,WCMA-ANCIENT,0.0
60.39.2.B,1960-01-01,Wedjat Eye Amulet,Egyptian,faience,,WCMA-ANCIENT,0.0
EL.83.13.10,,Prontor-S Camera (Jentura 66 deluxe),Agfa-Ansco,"metal, plastic and glass",,WCMA-PHOTO,0.0
93.1.120,1993-01-01,Incised fragment,Anonymous,stone,,WCMA-ANCIENT,0.0
93.1.146.C,1993-01-01,Bead (?),Anonymous,bronze,,WCMA-DEC ARTS,0.0
93.1.77.MM,1993-01-01,Small vase,Syrian?,baked clay,rough form. Possibly a mistake from a pottery studio. Possibly an unscored part of a larger piece that fell off during firing.,WCMA-ANCIENT,0.0
79.75.99,1979-01-01,Pot Sherd,Greek,ceramic,,WCMA-ANCIENT,0.0
79.75.65,1979-01-01,Pot Sherd,Greek,ceramic,,WCMA-ANCIENT,0.0
94.24.28,1994-12-20,Bolo with Lariat,William T. Wiley,"sterling silver, red, white and blue enamel",,WCMA-DEC ARTS,0.0
93.1.49,1993-01-01,Intaglio with head in profile,Anonymous,glass?,"translucent, green",WCMA-ANCIENT,0.0
94.1.6,1994-01-01,Reclining male,Anonymous (American?),painted plaster,,WCMA-SCULPTURE,0.0
RC.4.53,1994-01-01,Untitled: reclining nude,J. Despres,watercolor and pastel on paper,,WCMA Reserve Collection,0.0
TM.1,1941-01-01,Embroidered frontal,Mexican,"silk, metallic thread, and garnets and other stones",Heavily embroidered in metal threads and inset with garnets and other small stones on white silk,WCMA-DEC ARTS,0.0
RC.17.52,1993-01-01,Religious scene,after Edouard Denis Baldus,photo mechanical reproduction,,WCMA Reserve Collection,0.0
93.1.15.C,1993-01-01,Scarab Amulet,Egyptian,faience?,aqua-green color,WCMA-ANCIENT,0.0
43.2.164,1943-01-01,Plate,American,pewter,,WCMA-DEC ARTS,0.0
79.75.123,1979-01-01,Pot Sherd,Greek,ceramic,,WCMA-ANCIENT,0.0
RC.22.10,1994-01-01,Fragment of a rock,Anonymous,rock,,WCMA Reserve Collection,0.0
WP.35,,"Portrait of Nathan Jackson 1780-1860, Benefactor",Bogardus (?),oil on canvas,,WCMA-PAINTING,0.0
93.1.147.D,1993-01-01,Pin closure,Anonymous,bronze,,WCMA-DEC ARTS,0.0
93.1.167.A,1993-01-01,Medallion (?),Roman?,bronze,,WCMA-ANCIENT,0.0
94.1.21,1994-01-01,Handkerchief with floral design,French?,lace,,WCMA-DEC ARTS,0.0
93.1.102,1993-01-01,Kohl Jar,Egyptian?,alabaster,Small Jar with lid,WCMA-ANCIENT,0.0
